"","SPY","AAPL"
"2005-01-04",-0.0122194658980834,0.0102699909882847
"2005-01-05",-0.00690061292221665,0.0087583545711143
"2005-01-06",0.00508430710081557,0.000775088509118376
"2005-01-07",-0.00143325098232716,0.0728117880545971
"2005-01-10",0.00472811378816273,-0.00418768433816594
"2005-01-11",-0.00689075495275686,-0.0638050430013282
"2005-01-12",0.00330003936294725,0.0139405114693417
"2005-01-13",-0.00801211494804509,0.0662999471412723
"2005-01-14",0.00527116723010422,0.0057305347794586
"2005-01-18",0.010402606437497,0.00641047029036917
"2005-01-19",-0.0104628861944898,-0.0108988663904511
"2005-01-20",-0.00609034350530406,0.00829986059525074
"2005-01-21",-0.00612767376640615,0.000425888402560262
"2005-01-24",-0.00196948153188965,0.00383028505761605
"2005-01-25",0.00283135321283798,0.018230614174122
"2005-01-26",0.00299457713789206,0.00277589551655923
"2005-01-27",0.00170602745123746,0.00539790668496712
"2005-01-28",0,0.0184470190757877
"2005-01-31",0.00621649698865918,0.0394701594640739
"2005-02-01",0.00634732644357739,0.00819249333279552
